Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High,Bid,Ask
2023-05-25,ADM,72.20,73.72,3472736,71.93,74.29,73.83,74.00
2023-05-25,ATVI,77.58,77.14,6822844,76.76,77.59,77.16,77.13
2023-05-25,ABT,103.27,102.14,6417946,101.34,103.53,101.55,102.09
2023-05-25,MMM,96.55,97.05,3115219,95.35,97.21,96.35,97.06
2023-05-25,AOS,66.54,66.49,755037,65.55,66.62,66.00,68.00
2023-05-25,ADBE,375.49,392.06,6664316,374.09,397.65,392.11,392.50
2023-05-25,ACN,288.51,291.76,3429175,285.18,293.15,291.21,293.15
2023-05-25,ABBV,140.03,138.62,6704785,138.26,140.20,138.64,138.63
2023-05-25,ADP,211.81,210.40,2065440,208.83,212.10,209.50,213.76
2023-05-25,AAP,114.57,111.62,1268575,111.35,114.57,110.50,111.98
2023-05-25,AES,20.20,19.95,5551781,19.75,20.26,19.54,20.49
2023-05-25,APD,272.72,272.12,702373,270.85,273.17,265.99,277.80
2023-05-25,AFL,64.54,64.61,1715746,64.34,65.08,64.34,64.85
2023-05-25,ALK,44.08,45.12,1161608,44.00,45.14,44.68,45.10
2023-05-25,A,121.41,119.49,3169439,117.64,121.41,117.29,121.36
2023-05-25,ALB,211.50,204.97,2911591,202.80,211.86,204.00,205.48
2023-05-25,AKAM,88.17,89.06,1642695,87.84,89.36,89.10,89.11
2023-05-25,ALLE,106.57,105.25,576071,104.43,106.78,103.59,123.00
2023-05-25,ARE,114.34,111.22,1192353,110.64,114.34,110.73,116.98
2023-05-25,ALGN,282.96,280.08,481182,277.76,284.89,279.21,280.80
2023-05-25,LNT,51.90,51.06,998221,50.79,51.93,51.06,51.34
2023-05-25,GOOG,125.21,124.35,33573836,122.90,125.98,124.15,124.14
2023-05-25,ALL,112.56,111.04,1668332,110.70,113.57,110.75,114.01
2023-05-25,MO,44.75,44.67,6242734,44.46,44.92,44.61,44.66
2023-05-25,AMZN,116.63,115.00,66294242,114.32,116.86,114.86,115.00
2023-05-25,AEE,81.84,80.95,1078001,80.62,81.84,81.45,81.31
2023-05-25,AAL,13.88,14.38,29301570,13.80,14.39,14.27,14.29
2023-05-25,AMCR,9.88,9.81,6265434,9.76,9.93,9.85,9.90
2023-05-25,AEP,84.37,82.50,4951964,81.50,84.39,82.42,82.45
2023-05-25,GOOGL,124.52,123.48,39469389,121.97,125.32,123.21,123.38
2023-05-25,AMD,117.31,120.35,107428945,115.81,120.69,120.62,120.68
2023-05-25,AIG,54.44,53.68,3619733,53.54,54.67,53.50,53.94
2023-05-25,AXP,149.60,151.08,3228894,149.37,151.50,149.60,151.50
2023-05-25,AMT,184.58,182.56,2550514,181.65,184.65,181.58,183.50
2023-05-25,AMP,292.65,305.69,883769,292.65,306.13,297.14,318.61
2023-05-25,AMGN,220.10,217.46,2730306,214.93,220.00,215.33,217.43
2023-05-25,AME,144.82,145.73,723151,144.32,146.23,144.96,145.91
2023-05-25,ABC,170.07,170.17,1885013,168.23,170.93,170.78,170.16
2023-05-25,AWK,143.38,142.45,863074,141.54,143.44,141.99,142.59
2023-05-25,APH,73.81,73.94,9271105,73.29,74.28,72.97,73.91
2023-05-25,ADI,166.51,172.39,9246868,161.93,173.94,170.50,172.23
2023-05-25,ANSS,301.28,306.31,482095,299.61,309.26,300.31,325.51
2023-05-25,APA,33.55,33.30,4524215,32.81,33.65,33.29,33.30
2023-05-25,AON,312.97,311.19,744254,308.12,312.97,306.06,320.47
2023-05-25,AAPL,172.41,172.99,51339520,171.69,173.90,172.74,172.94
2023-05-25,ANET,153.22,156.20,8043312,150.63,156.76,155.44,156.65
