Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High,Bid,Ask
2023-06-06,MMM,98.06,98.29,4467407,97.29,99.63,97.39,98.50
2023-06-06,AOS,68.25,68.64,670998,68.12,69.65,68.00,69.98
2023-06-06,ABT,103.87,102.62,3274019,102.21,104.05,102.17,102.64
2023-06-06,ABBV,137.47,135.43,3481068,134.63,137.63,135.42,135.43
2023-06-06,ACN,302.88,308.04,2419253,301.76,309.31,305.01,312.00
2023-06-06,ATVI,81.00,80.88,4724521,80.46,81.04,80.95,81.00
2023-06-06,ADM,71.01,72.39,1541273,71.01,72.50,72.45,72.60
2023-06-06,ADBE,432.55,432.89,2156157,431.24,437.12,432.70,433.00
2023-06-06,ADP,217.20,216.74,1196970,215.25,217.92,210.68,217.40
2023-06-06,AAP,65.55,66.07,3066568,65.19,67.16,66.12,66.23
2023-06-06,AES,20.06,20.13,12159777,20.02,20.43,20.13,20.14
2023-06-06,AFL,67.45,67.67,1865811,67.09,67.78,66.86,67.67
2023-06-06,A,118.78,117.44,1758779,116.64,119.11,117.32,122.39
2023-06-06,APD,278.59,278.50,589838,276.59,281.55,274.41,282.56
2023-06-06,AKAM,93.82,93.31,1059974,92.93,93.82,93.31,93.36
2023-06-06,ALK,45.98,47.46,1092707,45.82,47.53,47.01,47.74
2023-06-06,ALB,204.00,213.11,1606270,203.62,215.35,213.14,214.50
2023-06-06,ARE,115.99,118.22,796345,115.25,119.03,116.25,118.95
2023-06-06,ALGN,303.72,304.68,377071,301.98,308.52,305.00,308.54
2023-06-06,ALLE,108.86,110.17,663845,108.75,110.72,107.68,112.68
2023-06-06,LNT,52.54,52.31,1968284,52.07,52.87,52.37,53.52
2023-06-06,ALL,109.51,109.99,999822,109.39,110.61,110.09,112.09
2023-06-06,GOOGL,126.01,127.31,25898572,125.37,128.29,127.25,127.31
2023-06-06,GOOG,126.60,127.91,17840690,125.97,128.88,127.85,127.91
2023-06-06,MO,44.70,44.66,7314212,44.49,44.82,44.66,44.72
2023-06-06,AMZN,125.07,126.61,45597213,125.00,127.40,126.45,126.50
2023-06-06,AMCR,10.00,10.00,10359283,9.95,10.11,9.90,10.10
2023-06-06,AMD,117.91,124.23,73783415,117.74,124.42,124.66,124.70
2023-06-06,AEE,82.33,81.55,1232613,81.36,82.83,81.82,82.94
2023-06-06,AAL,14.81,14.93,15778719,14.70,15.02,14.91,14.92
2023-06-06,AEP,83.50,83.44,2873759,82.90,84.13,82.90,83.79
2023-06-06,AXP,167.85,171.82,3630417,167.54,172.65,171.60,171.99
2023-06-06,AIG,54.58,55.93,4290180,54.55,56.12,55.30,55.95
2023-06-06,AMT,189.79,189.11,1390290,186.27,189.79,188.65,188.40
2023-06-06,AWK,146.63,144.79,588379,144.76,146.46,142.91,146.95
2023-06-06,AMP,310.63,312.97,432565,309.67,315.46,306.51,321.67
2023-06-06,ABC,175.03,174.37,992353,173.04,175.64,173.35,180.00
2023-06-06,AME,148.65,149.29,469334,148.35,150.25,146.88,149.43
2023-06-06,AMGN,223.08,221.22,1735411,219.32,223.17,219.30,222.00
2023-06-06,APH,76.82,77.50,2447523,76.62,77.62,77.59,77.60
2023-06-06,ADI,173.61,177.97,3227287,173.40,178.70,177.34,178.86
2023-06-06,ANSS,326.76,325.59,274627,324.89,329.24,314.96,325.86
2023-06-06,AON,313.87,312.38,489362,310.85,315.33,312.37,319.02
2023-06-06,APA,32.29,33.34,4219953,32.16,33.48,33.12,33.35
2023-06-06,AAPL,179.96,179.21,62679931,177.43,180.12,179.05,179.07
2023-06-06,AMAT,131.40,133.94,5174786,130.75,135.35,133.05,134.02
2023-06-06,APTV,91.92,95.45,1862222,92.05,95.52,92.85,97.73
2023-06-06,ACGL,71.71,71.20,1439097,70.94,71.76,70.02,71.99
2023-06-06,ANET,161.00,159.68,2788279,157.83,161.40,159.00,162.72
2023-06-06,AJG,207.01,205.34,424921,204.46,207.28,202.14,208.93
2023-06-06,AIZ,123.31,124.94,348021,122.68,125.13,124.78,127.11
2023-06-06,T,15.33,15.67,38486066,15.36,15.75,15.67,15.68
2023-06-06,ATO,115.49,115.17,706107,114.14,116.11,115.31,115.80
2023-06-06,ADSK,209.24,208.01,877821,207.26,209.91,207.35,208.98
2023-06-06,AZO,2333.69,2323.05,228364,2316.00,2341.57,2283.99,2363.00
2023-06-06,AVB,182.42,183.07,463007,180.61,183.44,179.29,183.78
2023-06-06,AVY,164.70,167.52,349726,164.70,167.94,66.92,267.68
2023-06-06,AXON,191.88,194.88,606844,191.18,195.96,191.01,199.00
2023-06-06,BKR,29.15,30.59,7530091,29.15,30.72,30.44,30.59
2023-06-06,BALL,53.81,54.63,1395986,53.68,55.40,54.37,55.00
2023-06-06,BAC,28.46,29.23,46218607,28.45,29.43,29.12,29.20
2023-06-06,BBWI,39.43,40.38,3346428,39.02,40.53,39.38,40.80
2023-06-06,BAX,41.50,40.96,3132517,40.84,41.53,40.50,41.17
2023-06-06,BDX,255.04,250.46,1266414,248.08,255.82,246.36,250.56
2023-06-06,WRB,57.37,57.55,822549,57.07,57.66,56.22,58.93
2023-06-06,BRK-B,329.04,333.41,2470312,328.71,334.16,333.26,333.41
2023-06-06,BBY,72.57,74.35,1815047,72.58,74.86,74.13,74.49
2023-06-06,BIO,369.46,370.78,211535,366.28,374.40,361.87,379.28
2023-06-06,TECH,83.13,82.63,550942,81.96,83.60,81.04,84.26
2023-06-06,BIIB,303.65,299.79,911337,298.32,304.75,296.14,303.99
2023-06-06,BLK,673.34,684.92,748422,673.60,685.61,684.70,690.09
2023-06-06,BK,42.58,43.41,4171996,42.44,43.90,43.30,43.65
2023-06-06,BA,208.37,207.29,10535278,200.68,211.68,206.50,206.75
2023-06-06,BKNG,2688.65,2708.10,306485,2684.51,2729.27,2670.75,2704.50
