Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High,Bid,Ask
2023-06-02,ATVI,80.24,80.50,5802024,79.83,80.63,80.30,80.53
2023-06-02,ACN,307.50,311.39,2134064,306.62,312.20,311.00,313.00
2023-06-02,ABT,103.31,104.20,5460722,102.85,104.50,104.23,104.88
2023-06-02,ADM,71.26,71.97,2279446,70.93,72.04,71.00,72.11
2023-06-02,MMM,96.10,102.53,14121223,96.04,104.55,102.25,102.43
2023-06-02,ADBE,432.00,436.37,4331588,430.36,438.52,436.41,436.37
2023-06-02,AOS,65.44,68.41,1334335,65.44,68.44,64.41,70.00
2023-06-02,ABBV,133.71,136.87,6243056,133.50,136.97,135.00,137.00
2023-06-02,ADP,212.70,216.52,1353915,211.40,216.93,216.48,216.86
2023-06-02,AAP,68.47,67.56,6969595,66.27,68.98,67.50,67.60
2023-06-02,AES,20.08,20.19,6820136,20.00,20.35,20.00,20.32
2023-06-02,AFL,65.42,66.60,2524667,65.31,66.80,65.72,67.00
2023-06-02,AKAM,92.00,93.51,1230222,92.00,93.68,90.57,93.50
2023-06-02,A,117.77,118.22,3203965,116.02,118.41,118.20,118.85
2023-06-02,ALB,203.22,208.36,2092636,202.46,210.17,207.25,208.33
2023-06-02,ARE,113.04,115.37,943356,113.04,116.30,115.06,116.95
2023-06-02,APD,275.92,281.04,879327,275.69,281.84,276.43,284.00
2023-06-02,ALGN,299.74,302.00,679461,296.02,302.68,294.82,304.35
2023-06-02,ALLE,105.97,109.27,737723,105.23,109.59,102.60,111.24
2023-06-02,LNT,50.69,51.98,2201123,50.52,52.24,52.11,52.12
2023-06-02,ALK,45.43,46.10,1237656,45.21,46.49,45.50,46.50
2023-06-02,GOOGL,123.99,124.67,26947807,123.76,126.15,124.55,124.65
2023-06-02,ALL,109.94,110.08,1059462,109.30,110.85,108.53,110.06
2023-06-02,MO,44.51,45.33,7194048,44.40,45.37,45.29,45.31
2023-06-02,GOOG,124.49,125.23,19348518,124.35,126.75,125.12,125.23
2023-06-02,AMCR,9.84,9.97,8320391,9.84,10.00,9.99,10.07
2023-06-02,AMZN,124.92,124.25,58811800,124.02,126.39,124.08,124.12
2023-06-02,AMD,120.75,117.86,52132459,117.68,121.66,117.44,117.45
2023-06-02,AAL,14.90,14.87,30737949,14.64,15.07,14.84,14.86
2023-06-02,AEP,81.54,83.45,2830489,81.24,84.01,83.48,83.55
2023-06-02,AXP,164.99,168.56,4291601,164.49,169.85,168.69,168.56
2023-06-02,AIG,54.44,55.20,3649785,54.31,55.69,55.00,55.51
2023-06-02,AMT,190.28,191.15,2114308,189.07,192.07,189.55,191.45
2023-06-02,AWK,142.83,145.79,846069,142.35,146.18,142.53,148.22
2023-06-02,AEE,79.80,81.17,1756639,79.80,81.85,76.25,82.02
