Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High,Bid,Ask
2023-05-23,ACN,289.16,288.10,2219339,287.11,291.04,280.36,290.23
2023-05-23,MMM,101.71,100.70,3615737,100.66,102.83,100.60,101.68
2023-05-23,ATVI,79.10,79.13,5283490,78.75,79.50,79.02,79.13
2023-05-23,ABT,107.30,105.74,4323001,105.52,107.48,105.64,106.51
2023-05-23,ADBE,371.81,370.42,2967139,369.93,376.48,370.80,371.10
2023-05-23,ABBV,144.45,142.52,5079265,142.34,144.82,142.54,142.56
2023-05-23,AOS,67.49,66.73,589942,66.71,67.99,66.20,67.83
2023-05-23,ADM,73.50,75.05,3042371,73.33,75.51,74.82,75.53
2023-05-23,AAP,117.61,116.78,1351100,115.77,118.99,116.00,116.87
2023-05-23,AFL,66.70,66.04,1825743,66.02,66.93,65.79,66.14
2023-05-23,ADP,216.00,215.55,1942935,215.09,216.49,215.19,216.30
2023-05-23,A,129.03,128.64,2552543,127.91,130.54,119.12,119.49
2023-05-23,ARE,117.65,118.11,698613,117.57,120.57,118.26,120.60
2023-05-23,ALK,44.86,44.83,1115232,44.75,45.81,44.10,45.75
2023-05-23,AES,20.87,20.76,3087465,20.65,21.15,20.75,21.15
2023-05-23,ALGN,295.90,282.55,1361770,281.29,303.10,280.01,282.90
2023-05-23,ALB,206.42,216.07,4010977,206.01,220.10,215.50,216.50
2023-05-23,APD,273.11,271.50,713228,270.92,274.01,270.00,279.00
2023-05-23,AKAM,87.70,87.03,864322,87.01,88.27,85.31,88.88
2023-05-23,ALLE,108.67,107.86,429855,107.57,109.68,107.42,108.40
2023-05-23,ALL,118.17,116.26,1630261,115.87,118.61,112.10,116.44
2023-05-23,GOOG,124.93,123.29,23157265,123.05,125.40,123.15,123.25
2023-05-23,MO,45.07,44.93,5978767,44.90,45.26,44.90,44.99
2023-05-23,GOOGL,124.16,122.56,33993425,122.21,124.62,122.45,122.54
2023-05-23,LNT,52.45,52.44,1199459,52.35,53.05,51.31,53.67
2023-05-23,AEE,83.47,82.71,1232657,82.60,84.04,81.45,83.95
2023-05-23,AMD,107.25,108.12,72294588,107.19,110.99,108.09,108.12
2023-05-23,AMCR,10.13,10.12,7990769,10.07,10.23,10.17,10.35
2023-05-23,AMZN,114.27,114.99,61099430,113.79,117.14,115.30,115.39
2023-05-23,AEP,86.13,86.00,1812055,85.88,86.83,85.66,87.32
2023-05-23,AAL,14.35,14.07,28747908,14.07,14.64,14.08,14.09
2023-05-23,AIG,55.40,55.77,6281015,55.25,56.90,55.30,55.83
2023-05-23,AXP,154.47,152.56,2926727,152.50,155.76,152.32,152.56
