Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High,Bid,Ask
2023-06-12,MMM,100.35,101.26,3497045,100.21,102.44,101.20,101.57
2023-06-12,AOS,68.92,68.57,631023,68.22,69.10,68.00,70.52
2023-06-12,ABT,101.84,101.40,3487940,100.79,101.91,101.13,101.82
2023-06-12,ABBV,139.58,137.73,4871911,136.90,139.67,137.22,138.21
2023-06-12,ACN,307.83,311.48,2582041,307.54,311.85,305.63,312.19
2023-06-12,ATVI,80.38,79.77,7938404,79.70,80.40,79.90,80.00
2023-06-12,ADM,72.62,73.17,2772164,72.08,73.57,72.85,73.70
2023-06-12,ADBE,463.70,474.63,6445694,459.42,477.99,479.00,475.05
2023-06-12,ADP,215.23,218.36,1347998,214.48,218.56,218.36,218.59
2023-06-12,AAP,64.71,66.89,4212515,64.20,67.92,66.91,66.96
2023-06-12,AES,20.18,20.29,5523720,19.90,20.41,19.87,20.38
2023-06-12,AFL,68.75,68.74,1499368,68.14,69.10,68.34,69.30
2023-06-12,A,115.86,118.54,2564455,115.82,118.65,117.95,119.31
2023-06-12,APD,279.50,278.93,656188,276.80,279.64,273.72,283.00
2023-06-12,AKAM,92.43,92.39,1568935,91.61,92.59,92.26,92.27
2023-06-12,ALK,49.10,49.58,1094819,49.03,50.00,48.76,49.55
2023-06-12,ALB,220.17,218.55,1478419,217.10,220.57,217.00,219.25
2023-06-12,ARE,120.28,121.00,763555,120.03,121.71,120.85,121.95
2023-06-12,ALGN,304.81,311.29,561015,301.98,311.71,304.83,312.29
2023-06-12,ALLE,113.04,114.59,778726,112.45,115.23,113.04,116.45
2023-06-12,LNT,53.34,53.26,799211,52.85,53.49,51.83,53.97
2023-06-12,ALL,111.87,112.35,1026676,111.66,113.19,110.46,112.27
2023-06-12,GOOGL,122.79,123.64,27412713,121.66,124.04,123.79,123.90
2023-06-12,GOOG,123.39,124.35,22161995,122.36,124.75,124.50,124.67
2023-06-12,MO,45.25,45.53,6499231,45.14,45.60,45.52,45.60
2023-06-12,AMZN,124.02,126.57,51136252,123.53,126.78,126.98,126.78
2023-06-12,AMCR,10.00,10.03,5004650,9.96,10.08,9.90,10.10
2023-06-12,AMD,128.52,129.19,85278738,126.40,130.48,130.25,130.28
2023-06-12,AEE,84.14,83.53,1292298,83.09,84.48,83.47,86.60
2023-06-12,AAL,15.74,16.02,28349926,15.73,16.37,16.01,16.02
2023-06-12,AEP,83.68,83.69,2981168,83.22,83.88,83.31,84.11
2023-06-12,AXP,172.01,173.64,2557411,171.93,173.93,173.30,173.94
2023-06-12,AIG,56.58,56.22,2817860,55.53,56.86,56.08,56.80
2023-06-12,AMT,187.50,188.56,1531809,185.89,188.71,187.75,191.00
2023-06-12,AWK,147.14,146.03,867195,144.67,147.48,144.06,148.02
2023-06-12,AMP,314.26,312.64,387139,311.13,315.39,307.44,317.94
2023-06-12,ABC,178.16,179.32,809492,177.22,179.38,178.05,180.17
2023-06-12,AME,150.54,151.18,566436,149.69,151.54,150.88,153.09
2023-06-12,AMGN,219.25,217.36,2704235,215.34,219.25,216.00,217.36
2023-06-12,APH,78.43,79.61,1901389,78.36,79.75,79.67,79.61
2023-06-12,ADI,185.00,187.66,3845572,184.71,187.96,184.99,187.62
2023-06-12,ANSS,326.21,329.97,458238,324.85,330.09,324.05,337.13
2023-06-12,AON,314.48,318.06,620164,313.50,319.36,317.94,318.80
2023-06-12,APA,32.71,33.06,4535961,32.24,33.52,32.76,33.07
2023-06-12,AAPL,181.27,183.79,54164101,180.97,183.88,182.53,182.54
2023-06-12,AMAT,137.74,140.01,5930831,136.84,140.22,140.03,140.50
2023-06-12,APTV,99.10,100.27,1914174,98.38,100.62,97.66,102.00
2023-06-12,ACGL,71.28,70.45,1630070,70.07,71.46,70.18,70.70
2023-06-12,ANET,163.45,170.00,3207219,162.84,170.02,170.00,172.90
2023-06-12,AJG,206.76,208.24,718068,205.41,208.83,204.87,208.51
2023-06-12,AIZ,124.75,125.63,335371,123.32,125.81,120.24,127.00
2023-06-12,T,15.95,15.93,27486697,15.82,16.00,15.92,15.93
2023-06-12,ATO,117.50,117.50,766260,116.42,117.76,116.91,119.00
2023-06-12,ADSK,202.91,208.10,1482411,202.88,208.24,203.80,211.00
2023-06-12,AZO,2390.33,2415.00,225808,2389.28,2424.99,2360.12,2462.62
