Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
2023-07-03,MMM,100.20,101.14,1549656,99.92,101.44
2023-07-03,AOS,72.30,72.37,338364,71.44,72.86
2023-07-03,ABT,108.25,107.22,2188377,107.03,108.48
2023-07-03,ABBV,134.00,135.01,2579302,133.15,135.43
2023-07-03,ACN,308.00,310.97,1133724,307.41,311.27
2023-07-03,ATVI,83.92,83.34,4125459,83.18,84.20
2023-07-03,ADM,75.69,76.73,1407991,75.59,77.17
2023-07-03,ADBE,486.39,485.21,1489481,479.84,486.61
2023-07-03,AAP,70.23,70.95,1227383,69.86,71.64
2023-07-03,ADP,218.22,218.73,848290,216.25,219.23
2023-07-03,AES,20.59,21.07,2332293,20.59,21.11
2023-07-03,AFL,69.60,70.19,907478,69.46,70.56
2023-07-03,A,120.02,119.32,933778,119.22,120.85
2023-07-03,APD,298.15,297.07,438002,295.74,299.20
2023-07-03,AKAM,89.61,91.32,813104,89.48,91.39
2023-07-03,ALK,53.07,53.19,630916,52.96,53.74
2023-07-03,ALB,224.26,229.26,1474261,224.26,232.16
2023-07-03,ARE,113.63,116.12,527828,113.46,116.94
2023-07-03,ALGN,350.70,344.59,475471,340.00,351.38
2023-07-03,ALLE,119.12,118.75,473608,117.44,119.95
2023-07-03,LNT,52.43,53.08,803045,52.24,53.16
2023-07-03,ALL,108.97,110.51,935282,108.88,111.74
2023-07-03,GOOGL,119.24,119.90,14467850,118.82,120.19
2023-07-03,GOOG,120.32,120.56,13888262,119.71,121.02
2023-07-03,MO,45.19,45.92,6029385,45.00,45.92
2023-07-03,AMZN,130.82,130.22,28264785,130.07,131.85
2023-07-03,AMCR,9.95,10.08,3418170,9.94,10.14
2023-07-03,AMD,115.16,115.82,31859976,114.51,116.73
2023-07-03,AEE,81.46,82.85,509921,81.30,82.85
2023-07-03,AAL,17.86,18.10,12883696,17.82,18.17
2023-07-03,AEP,84.18,85.32,1533358,83.89,85.38
2023-07-03,AXP,174.30,175.44,1237012,173.70,176.32
2023-07-03,AIG,57.55,57.94,1808302,57.55,58.44
2023-07-03,AMT,193.40,195.04,936958,192.66,196.32
2023-07-03,AWK,142.51,143.97,503587,141.64,144.06
2023-07-03,AMP,331.01,335.08,236345,331.00,336.63
2023-07-03,ABC,191.24,190.92,758301,189.17,191.29
2023-07-03,AME,160.68,160.81,364633,159.12,161.35
2023-07-03,AMGN,221.21,225.01,1427860,219.91,225.55
2023-07-03,APH,84.52,84.08,1226686,84.06,84.77
2023-07-03,ADI,193.98,194.33,1355765,192.27,196.55
2023-07-03,ANSS,327.84,326.95,238218,320.98,328.80
2023-07-03,AON,341.91,338.69,366837,334.86,341.91
2023-07-03,APA,34.33,34.06,1718167,34.03,34.50
2023-07-03,AAPL,193.78,192.46,30907450,191.76,193.88
2023-07-03,AMAT,144.02,145.47,2478588,143.38,145.91
2023-07-03,APTV,102.00,103.03,925318,102.00,103.78
2023-07-03,ACGL,74.43,73.99,808320,73.03,74.44
2023-07-03,ANET,161.34,159.90,911616,157.94,161.86
2023-07-03,AJG,219.00,216.18,580952,214.32,219.00
2023-07-03,AIZ,125.05,125.84,135658,124.58,127.27
2023-07-03,T,15.95,16.12,17665448,15.95,16.12
2023-07-03,ATO,115.83,117.30,253564,115.83,117.51
2023-07-03,ADSK,203.00,203.70,818877,202.11,205.19
2023-07-03,AZO,2468.55,2483.48,111447,2460.00,2500.00
2023-07-03,AVB,188.53,190.50,408963,188.24,191.45
2023-07-03,AVY,171.60,173.48,255276,171.60,173.60
2023-07-03,AXON,194.31,194.58,379407,189.92,194.93
2023-07-03,BKR,31.63,31.60,2951197,31.20,31.80
2023-07-03,BALL,57.88,58.52,750945,57.51,58.61
2023-07-03,BAC,28.70,29.20,30249371,28.65,29.35
2023-07-03,BBWI,37.78,37.90,2007313,37.53,38.18
2023-07-03,BAX,45.31,44.68,2153456,44.37,45.75
2023-07-03,BDX,261.80,261.92,583707,259.41,263.23
