Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High,Bid,Ask
2023-06-09,MMM,100.70,99.90,4506622,98.20,101.58,99.53,99.70
2023-06-09,AOS,69.89,68.79,489371,68.45,69.90,68.00,70.05
2023-06-09,ABT,100.97,101.69,4270010,100.54,101.97,100.50,102.01
2023-06-09,ABBV,137.56,138.18,4341669,137.08,139.19,137.50,137.99
2023-06-09,ACN,309.13,308.72,2153641,306.64,311.17,308.20,309.24
2023-06-09,ATVI,79.98,80.38,5787209,79.96,80.68,80.35,80.35
2023-06-09,ADM,72.15,72.54,2237262,71.79,73.16,72.62,72.89
2023-06-09,ADBE,456.91,454.00,7917262,453.09,466.55,455.51,456.80
2023-06-09,ADP,214.33,215.22,1295863,213.48,215.68,215.11,215.60
2023-06-09,AAP,64.65,63.58,3233182,63.56,64.88,64.15,64.49
2023-06-09,AES,20.48,20.09,6949461,19.83,20.53,20.08,20.09
2023-06-09,AFL,68.31,68.97,1666744,68.04,69.08,68.70,69.20
2023-06-09,A,115.58,115.79,1806691,114.16,116.00,115.00,115.80
2023-06-09,APD,282.54,278.59,876650,277.85,282.54,278.56,278.47
2023-06-09,AKAM,92.50,92.48,1362687,91.88,93.22,90.64,92.38
2023-06-09,ALK,48.82,48.65,1487483,48.65,49.28,48.32,49.31
2023-06-09,ALB,220.05,220.50,1491763,218.36,222.83,220.70,221.00
2023-06-09,ARE,120.85,120.59,662573,120.19,121.34,120.35,121.00
2023-06-09,ALGN,304.60,304.44,484567,301.99,309.66,304.10,305.19
2023-06-09,ALLE,113.27,112.65,403913,112.18,113.72,111.00,112.79
2023-06-09,LNT,53.52,53.23,909762,53.13,53.52,52.04,54.44
2023-06-09,ALL,111.21,111.96,1114277,110.50,112.95,112.01,114.54
2023-06-09,GOOGL,122.25,122.23,23499249,121.91,123.75,122.33,122.30
2023-06-09,GOOG,122.56,122.87,19545341,122.42,124.29,122.85,123.00
2023-06-09,MO,45.40,45.22,6681422,45.17,45.54,45.26,45.31
2023-06-09,AMZN,124.08,123.43,51144103,123.19,125.79,123.02,123.05
2023-06-09,AMCR,10.09,10.01,4346656,9.96,10.09,9.90,10.06
2023-06-09,AMD,123.57,124.92,74996783,123.60,127.25,124.65,124.74
2023-06-09,AEE,83.89,83.36,1058971,83.28,83.91,82.96,84.65
2023-06-09,AAL,15.31,15.57,21035403,15.31,15.67,15.55,15.60
2023-06-09,AEP,84.68,83.68,2973412,83.55,84.96,83.64,83.85
2023-06-09,AXP,171.94,171.72,2199093,170.94,172.22,171.26,172.00
2023-06-09,AIG,56.35,56.88,3544884,56.19,56.99,56.63,57.20
2023-06-09,AMT,189.98,187.30,1809287,184.82,189.98,186.53,187.50
2023-06-09,AWK,147.52,146.66,866153,145.36,147.78,143.82,146.74
2023-06-09,AMP,315.00,314.35,364327,311.00,315.88,312.00,315.06
2023-06-09,ABC,176.62,178.22,779831,175.99,178.27,175.32,180.00
2023-06-09,AME,149.95,150.29,759393,149.25,150.92,149.76,151.05
2023-06-09,AMGN,219.34,218.76,1707862,217.77,220.94,218.76,219.36
2023-06-09,APH,79.22,78.23,1661709,78.03,79.40,78.20,78.23
2023-06-09,ADI,183.27,182.46,3114157,181.10,185.89,182.50,182.40
2023-06-09,ANSS,318.74,325.53,650936,318.50,326.82,325.20,326.13
2023-06-09,AON,310.67,314.32,423877,309.16,316.02,307.96,320.95
2023-06-09,APA,33.98,33.41,4557600,33.22,34.41,33.40,33.41
2023-06-09,AAPL,181.50,180.96,47304520,180.64,182.23,180.79,180.83
2023-06-09,AMAT,137.79,136.12,3675052,135.82,137.98,135.86,136.07
2023-06-09,APTV,97.60,97.99,4740579,96.51,98.39,97.88,97.76
2023-06-09,ACGL,70.91,71.44,1591868,70.62,71.72,71.37,71.44
2023-06-09,ANET,164.15,162.52,2978112,161.33,167.18,162.08,162.50
2023-06-09,AJG,204.10,206.87,530898,203.65,207.57,202.81,206.89
2023-06-09,AIZ,125.61,125.52,320856,124.46,126.53,125.40,127.76
2023-06-09,T,16.01,15.95,24051653,15.91,16.13,15.98,15.96
2023-06-09,ATO,117.70,117.33,529140,117.00,118.04,116.93,117.95
