Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High,Bid,Ask
2023-06-14,MMM,103.16,101.95,3248719,101.17,103.67,101.75,102.37
2023-06-14,AOS,69.81,69.63,622547,69.16,70.32,69.19,70.20
2023-06-14,ABT,103.31,103.25,4865302,102.82,104.15,102.89,103.18
2023-06-14,ABBV,138.81,136.23,6072235,136.08,139.27,136.00,137.00
2023-06-14,ACN,316.02,315.05,2344965,313.30,318.36,314.98,320.00
2023-06-14,ATVI,81.27,81.23,7767302,80.95,81.77,0.00,0.00
2023-06-14,ADM,74.95,73.15,3165315,72.81,75.17,73.26,73.53
2023-06-14,ADBE,476.15,479.53,5008680,473.20,483.68,0.00,0.00
2023-06-14,ADP,221.50,216.09,1600355,215.30,222.15,0.00,0.00
2023-06-14,AAP,69.24,70.20,4734750,69.04,70.92,70.20,70.29
2023-06-14,AES,21.00,20.74,4383449,20.62,21.08,20.52,21.10
2023-06-14,AFL,69.65,68.76,1980091,68.57,70.22,68.50,69.20
2023-06-14,A,119.99,119.40,2462918,118.90,120.97,119.41,120.13
2023-06-14,APD,288.26,288.84,911010,287.28,291.46,283.90,293.72
2023-06-14,AKAM,91.74,91.99,1223524,91.06,92.28,0.00,0.00
2023-06-14,ALK,50.90,50.44,1476321,50.01,51.02,50.01,51.08
2023-06-14,ALB,231.30,226.80,1933230,225.01,233.74,226.46,227.36
2023-06-14,ARE,122.99,121.92,983137,120.83,123.79,117.23,123.09
2023-06-14,ALGN,324.11,322.46,538299,317.72,328.49,0.00,0.00
2023-06-14,ALLE,117.85,116.77,1012843,116.32,118.69,116.40,116.67
2023-06-14,LNT,53.27,53.13,1035537,53.02,53.88,0.00,0.00
2023-06-14,ALL,113.50,111.40,2716810,111.31,113.79,107.00,112.43
2023-06-14,GOOGL,123.10,123.67,30164425,121.45,124.05,0.00,0.00
2023-06-14,GOOG,123.80,124.38,23762131,122.16,124.79,0.00,0.00
2023-06-14,MO,44.90,43.95,11892979,43.85,44.98,43.82,43.84
2023-06-14,AMZN,126.70,126.42,50570528,124.12,126.94,0.00,0.00
2023-06-14,AMCR,10.24,10.16,5782066,10.15,10.33,10.00,10.33
2023-06-14,AMD,126.53,127.33,95106596,123.81,127.72,0.00,0.00
2023-06-14,AEE,82.77,82.84,1236331,82.57,83.89,80.99,84.73
2023-06-14,AAL,16.40,16.59,22681286,16.32,16.70,0.00,0.00
2023-06-14,AEP,83.50,83.61,2155082,83.03,84.31,0.00,0.00
2023-06-14,AXP,176.02,174.47,2317510,173.39,177.04,174.47,174.34
2023-06-14,AIG,56.67,55.84,3996819,55.57,57.42,55.73,56.80
2023-06-14,AMT,192.25,193.02,2509414,190.29,193.77,190.00,193.85
2023-06-14,AWK,146.73,146.11,797835,145.93,148.18,145.57,146.78
2023-06-14,AMP,319.34,318.93,454963,316.14,321.99,313.60,324.73
2023-06-14,ABC,179.17,179.05,1079359,177.16,180.29,173.30,180.15
2023-06-14,AME,153.86,153.60,890882,152.48,154.48,151.13,163.96
2023-06-14,APH,80.73,80.77,2564018,80.19,81.45,79.20,80.72
2023-06-14,AMGN,223.26,222.28,2452314,221.10,223.68,0.00,0.00
2023-06-14,ADI,192.62,191.89,4053123,189.91,193.97,0.00,0.00
2023-06-14,ANSS,331.07,334.31,358177,330.10,336.58,0.00,0.00
2023-06-14,AON,319.69,322.97,759571,318.12,324.41,129.34,329.48
2023-06-14,APA,34.27,33.65,4790660,33.12,34.49,0.00,0.00
2023-06-14,AAPL,183.37,183.95,53483074,182.02,184.38,0.00,0.00
2023-06-14,AMAT,138.41,141.17,6464716,138.23,141.36,0.00,0.00
2023-06-14,APTV,101.49,101.01,2567149,100.11,103.12,100.96,101.90
2023-06-14,ACGL,70.49,70.08,1711327,69.81,71.05,0.00,0.00
2023-06-14,ANET,166.64,169.08,2607187,164.41,169.16,164.00,169.74
2023-06-14,AJG,208.31,209.79,947142,207.26,211.20,205.60,209.18
2023-06-14,AIZ,130.42,129.11,449979,128.73,131.07,126.73,131.58
2023-06-14,T,15.90,15.84,26099314,15.82,16.01,15.81,15.85
2023-06-14,ATO,117.44,117.07,896536,116.72,118.10,116.65,117.68
2023-06-14,ADSK,212.85,213.55,1933401,209.66,214.90,0.00,0.00
2023-06-14,AZO,2426.80,2399.42,195114,2397.66,2438.95,2358.85,2450.00
2023-06-14,AVB,189.78,190.16,646699,188.56,191.00,187.15,193.25
2023-06-14,AVY,169.34,167.09,333519,166.47,170.39,166.71,167.62
2023-06-14,AXON,195.83,197.81,969606,195.00,198.71,0.00,0.00
2023-06-14,BKR,30.45,29.94,6976712,29.60,30.72,0.00,0.00
2023-06-14,BALL,54.59,54.46,1897270,53.96,55.30,54.19,55.20
2023-06-14,BAC,29.57,29.12,38072083,28.99,29.73,29.15,29.14
2023-06-14,BBWI,41.46,39.70,5115751,39.29,41.54,39.45,39.53
2023-06-14,BAX,44.18,43.45,5758050,43.45,44.47,43.51,43.70
2023-06-14,BDX,255.51,253.33,1123361,252.71,257.63,249.08,257.54
2023-06-14,WRB,57.23,56.54,1677624,56.36,57.70,56.80,58.96
2023-06-14,BRK-B,337.22,335.90,5158846,334.09,340.38,335.60,336.00
2023-06-14,BBY,76.58,76.64,2119304,75.71,77.27,76.79,76.95
2023-06-14,BIO,377.16,370.87,167688,369.61,377.16,361.67,381.80
2023-06-14,TECH,76.98,74.87,1644303,74.13,77.13,0.00,0.00
2023-06-14,BIIB,304.60,299.99,1474736,296.09,306.52,0.00,0.00
2023-06-14,BLK,690.72,692.45,662353,690.03,705.17,681.35,704.87
2023-06-14,BK,44.39,44.17,3727576,43.85,44.96,44.16,44.44
2023-06-14,BA,221.40,216.90,5583444,216.03,221.59,217.00,217.25
2023-06-14,BKNG,2595.37,2609.79,234278,2579.36,2623.50,0.00,0.00
2023-06-14,BWA,46.99,47.80,3160566,46.75,48.32,47.46,48.05
2023-06-14,BXP,55.51,54.23,1495539,53.81,56.41,54.28,54.52
2023-06-14,BSX,53.60,53.31,10733222,52.69,53.90,53.17,53.40
2023-06-14,BMY,64.96,64.16,6376792,64.05,65.00,64.08,64.09
2023-06-14,AVGO,855.90,886.18,4282582,847.22,888.54,0.00,0.00
2023-06-14,BR,157.73,157.43,518200,156.84,158.63,156.90,158.41
2023-06-14,BRO,64.50,64.60,861114,64.07,64.96,64.30,65.50
2023-06-14,BF-B,65.58,64.96,2191277,64.90,66.20,65.04,66.37
2023-06-14,BG,97.13,95.32,1456297,95.08,98.91,95.14,95.90
2023-06-14,CHRW,92.01,94.61,1454145,91.48,95.44,0.00,0.00
2023-06-14,CDNS,237.24,236.06,2684404,234.22,238.42,0.00,0.00
2023-06-14,CZR,50.54,49.19,2827239,48.60,50.96,0.00,0.00
2023-06-14,CPT,112.81,111.76,671233,111.18,113.57,111.96,114.59
2023-06-14,CPB,46.26,45.91,2112147,45.83,46.38,45.91,45.95
2023-06-14,COF,114.00,112.33,2297503,111.68,114.90,112.33,112.88
2023-06-14,CAH,87.53,86.97,2307736,86.10,87.93,86.50,87.62
2023-06-14,KMX,80.80,79.70,1304257,79.10,81.75,79.46,80.15
2023-06-14,CCL,15.51,15.60,58445682,15.19,15.78,15.68,15.70
2023-06-14,CARR,47.13,46.16,7002086,45.79,47.22,45.75,47.20
2023-06-14,CTLT,42.67,42.09,4476689,41.26,43.47,41.41,42.07
2023-06-14,CAT,246.80,243.32,3119915,241.57,248.32,244.22,245.43
2023-06-14,CBOE,135.05,138.81,603066,134.98,138.81,138.31,138.88
2023-06-14,CBRE,79.71,78.39,1460229,77.96,80.25,77.58,78.80
2023-06-14,CDW,175.48,176.58,733908,175.24,177.88,0.00,0.00
2023-06-14,CE,118.28,116.35,1076617,115.81,118.78,116.10,116.50
2023-06-14,CNC,64.21,64.65,7398442,63.04,65.20,64.67,64.68
2023-06-14,CNP,29.13,29.03,2633556,28.94,29.40,28.81,29.03
2023-06-14,CDAY,67.29,66.06,913556,65.66,67.95,65.50,69.05
2023-06-14,CF,69.50,67.80,2062437,66.97,69.84,67.85,67.98
2023-06-14,CRL,208.76,207.42,543763,206.99,210.72,200.03,207.45
2023-06-14,SCHW,54.20,54.35,14919598,53.71,55.34,54.31,54.44
2023-06-14,CHTR,337.80,335.25,1251933,334.44,341.35,0.00,0.00
2023-06-14,CVX,159.98,157.09,7704834,156.15,160.77,156.79,157.20
2023-06-14,CMG,2064.49,2061.17,140652,2052.53,2070.98,2061.17,2090.74
2023-06-14,CB,191.70,188.84,2334033,188.59,192.43,187.09,192.01
2023-06-14,CHD,95.06,95.37,778851,94.76,95.65,95.08,95.71
2023-06-14,CI,260.08,263.77,3503056,255.50,266.01,261.00,265.00
2023-06-14,CINF,102.94,99.97,638338,99.68,103.26,0.00,0.00
2023-06-14,CTAS,483.82,486.09,253466,482.68,487.39,0.00,0.00
2023-06-14,CSCO,50.80,50.96,16074656,50.63,51.22,0.00,0.00
2023-06-14,C,48.83,48.24,21991124,47.56,49.27,48.24,48.28
2023-06-14,CFG,28.50,27.10,7088025,26.99,28.87,27.10,27.26
2023-06-14,CLX,156.54,153.94,2272651,153.43,156.78,152.00,155.20
2023-06-14,CME,177.89,181.51,1565466,177.37,181.98,0.00,0.00
2023-06-14,CMS,60.12,60.42,1882615,60.11,61.09,60.11,60.74
2023-06-14,KO,60.73,60.86,14055788,60.60,61.08,60.74,60.85
2023-06-14,CTSH,64.21,63.71,2859872,63.60,64.86,0.00,0.00
2023-06-14,CL,75.23,75.42,2860281,74.99,75.82,75.34,75.91
2023-06-14,CMCSA,40.72,40.84,14592007,40.61,41.22,0.00,0.00
2023-06-14,CMA,42.92,41.43,3560682,41.03,44.06,41.25,41.26
2023-06-14,CAG,34.61,34.95,5641067,34.44,35.10,34.94,35.10
2023-06-14,COP,104.43,102.67,4758256,102.04,104.95,102.67,103.03
2023-06-14,ED,92.31,92.39,1589064,91.85,93.55,92.06,92.32
