Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
2023-06-28,MAA,151.36,150.27,608117,148.65,151.48
2023-06-28,MRNA,121.19,123.00,2516095,119.16,123.22
2023-06-28,MHK,102.00,102.03,761162,101.44,102.66
2023-06-28,MOH,289.99,289.04,423676,287.18,290.37
2023-06-28,TAP,65.51,65.65,1577240,65.41,65.82
2023-06-28,MDLZ,73.39,73.22,6289933,72.75,73.71
2023-06-28,MPWR,522.15,527.27,490507,521.02,538.57
2023-06-28,MNST,57.97,57.15,4188392,57.02,58.01
2023-06-28,MCO,338.77,341.59,562747,337.27,341.75
2023-06-28,MS,84.54,83.99,4532575,83.64,84.56
2023-06-28,MOS,34.58,33.93,3180044,33.88,34.70
2023-06-28,MSI,282.12,283.54,417447,281.23,285.07
2023-06-28,MSCI,466.31,463.32,657486,456.93,466.31
2023-06-28,NDAQ,49.85,49.58,4618036,49.40,50.04
2023-06-28,NTAP,74.86,75.23,1587396,74.59,75.54
2023-06-28,NFLX,423.10,429.84,8693800,422.89,437.25
2023-06-28,NWL,8.84,8.99,6698067,8.66,9.00
2023-06-28,NWSA,19.20,19.53,1863654,19.20,19.57
2023-06-28,NEE,73.95,73.44,8157960,73.22,74.21
2023-06-28,NWS,19.46,19.75,610531,19.42,19.77
2023-06-28,NEM,42.05,41.18,7374285,41.11,42.17
2023-06-28,NKE,113.34,113.03,6711549,112.12,113.75
2023-06-28,NI,27.38,27.13,3503199,26.97,27.40
2023-06-28,NDSN,244.71,242.38,149689,242.07,244.85
2023-06-28,NTRS,72.21,72.02,987392,71.40,72.23
2023-06-28,NOC,448.79,442.66,597112,440.67,450.57
2023-06-28,NSC,222.22,223.16,835037,220.01,223.82
2023-06-28,NCLH,19.60,21.07,30557659,19.54,21.30
2023-06-28,NRG,36.42,36.56,6525001,35.93,36.93
2023-06-28,NUE,159.40,161.12,1507778,158.56,161.62
2023-06-28,NVR,6306.92,6312.91,21461,6275.10,6386.62
2023-06-28,NXPI,196.90,197.56,1358958,196.40,199.77
2023-06-28,ORLY,932.63,937.03,291059,932.39,945.19
2023-06-28,NVDA,406.60,411.17,58023169,405.18,418.45
2023-06-28,OXY,57.23,57.46,8854936,56.77,57.90
2023-06-28,ODFL,360.35,370.29,1337260,360.35,373.06
2023-06-28,OMC,96.60,96.48,1460948,95.37,96.76
2023-06-28,ON,90.62,91.21,4343995,90.57,92.78
2023-06-28,OKE,59.67,60.52,2598628,59.06,60.56
2023-06-28,ORCL,116.78,116.53,9220376,116.39,118.62
2023-06-28,OGN,20.67,20.42,1166564,20.27,20.71
2023-06-28,OTIS,87.90,87.51,954036,87.16,87.90
2023-06-28,PCAR,80.36,80.68,1721909,79.95,80.78
2023-06-28,PKG,131.26,129.40,833224,127.90,131.61
