Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
2023-06-30,MMM,100.01,100.09,5082672,99.20,100.40
2023-06-30,AOS,72.89,72.78,410108,72.30,73.22
2023-06-30,ABT,108.00,109.02,4336839,107.70,109.34
2023-06-30,ABBV,133.47,134.73,8647311,132.80,135.93
2023-06-30,ACN,309.49,308.58,2658278,308.33,312.69
2023-06-30,ATVI,83.50,84.30,6872142,83.50,84.72
2023-06-30,ADM,74.90,75.56,2899654,74.06,75.86
2023-06-30,ADBE,482.74,488.99,3074237,482.72,492.81
2023-06-30,ADP,217.52,219.79,1780731,217.46,220.55
2023-06-30,AAP,68.41,70.30,3301950,67.84,70.97
2023-06-30,AES,20.59,20.73,3619264,20.44,20.78
2023-06-30,AFL,69.44,69.80,1886015,69.26,70.00
2023-06-30,A,118.73,120.25,2486003,118.30,120.69
2023-06-30,APD,295.88,299.53,1030066,295.17,300.51
2023-06-30,AKAM,90.00,89.87,1378330,89.50,90.77
2023-06-30,ALK,52.54,53.18,1514485,52.23,53.40
2023-06-30,ALB,219.29,223.09,1346671,216.60,223.83
2023-06-30,ARE,114.45,113.49,1508884,111.69,114.57
2023-06-30,ALGN,344.73,353.64,910896,344.73,356.19
2023-06-30,ALLE,120.00,120.02,707310,119.52,120.84
2023-06-30,LNT,51.93,52.48,1216775,51.72,52.57
2023-06-30,ALL,109.62,109.04,1820939,108.72,109.81
2023-06-30,GOOGL,120.17,119.70,28971894,119.69,121.07
2023-06-30,GOOG,121.10,120.97,22340497,120.88,122.03
2023-06-30,MO,45.07,45.30,8231364,44.98,45.41
2023-06-30,AMZN,129.47,130.36,52867801,128.95,131.24
2023-06-30,AMCR,9.91,9.98,5676400,9.84,10.01
2023-06-30,AMD,113.03,113.91,52175288,112.42,114.69
2023-06-30,AEE,81.02,81.67,1117177,81.01,81.97
2023-06-30,AAL,17.72,17.94,18470916,17.67,17.99
2023-06-30,AEP,83.55,84.20,2998365,83.36,84.36
2023-06-30,AXP,174.24,174.20,3353712,173.33,175.09
2023-06-30,AIG,57.91,57.54,3193216,57.35,57.95
2023-06-30,AMT,194.27,193.94,3212060,191.19,195.30
2023-06-30,AWK,140.75,142.75,1084950,140.21,142.84
2023-06-30,AMP,334.66,332.16,499137,330.37,334.66
2023-06-30,ABC,191.21,192.43,1444320,190.01,193.43
2023-06-30,AME,161.19,161.88,1034171,160.35,162.69
2023-06-30,AMGN,222.00,222.02,2784957,221.02,223.03
2023-06-30,APH,84.11,84.95,2722003,83.86,85.21
2023-06-30,ADI,190.98,194.81,3165400,190.80,195.36
2023-06-30,ANSS,328.63,330.27,514706,328.63,334.64
2023-06-30,AON,343.72,345.20,946931,342.52,347.37
2023-06-30,APA,34.35,34.17,5119653,33.83,34.74
2023-06-30,AAPL,191.63,193.97,79822375,191.26,194.48
2023-06-30,AMAT,145.30,144.54,5779711,143.48,145.55
2023-06-30,APTV,101.71,102.09,1143262,100.63,102.48
2023-06-30,ACGL,73.61,74.85,1904021,73.61,75.57
2023-06-30,ANET,161.37,162.06,2988165,159.81,164.20
2023-06-30,AJG,215.84,219.57,1156541,214.98,220.63
2023-06-30,AIZ,125.14,125.72,332432,124.73,126.88
2023-06-30,T,16.00,15.95,38388583,15.83,16.03
2023-06-30,ATO,116.00,116.34,474705,115.11,116.77
2023-06-30,ADSK,207.42,204.61,2005363,203.74,207.76
2023-06-30,AZO,2470.51,2493.36,189931,2462.94,2508.39
2023-06-30,AVB,189.26,189.27,1159825,186.34,190.47
2023-06-30,AVY,168.68,171.80,390502,167.41,172.17
2023-06-30,AXON,196.58,195.12,509109,194.63,196.88
2023-06-30,BKR,31.67,31.61,6806872,31.40,31.93
2023-06-30,BALL,58.10,58.21,1272157,57.40,58.32
2023-06-30,BAC,28.94,28.69,49855834,28.67,29.10
2023-06-30,BBWI,38.13,37.50,3460869,37.19,38.20
2023-06-30,BAX,45.08,45.56,3420780,44.92,45.75
2023-06-30,BDX,262.19,264.01,1288576,262.03,265.09
2023-06-30,WRB,59.35,59.56,1114012,58.95,59.91
2023-06-30,BRK-B,338.78,341.00,4474876,338.40,342.50
2023-06-30,BBY,83.41,81.95,2278654,81.84,83.41
2023-06-30,BIO,377.58,379.12,149791,376.32,380.74
2023-06-30,TECH,79.95,81.63,1199933,79.89,82.09
2023-06-30,BIIB,284.96,284.85,1119022,282.91,286.50
2023-06-30,BLK,695.12,691.14,887848,690.45,695.98
2023-06-30,BK,44.64,44.52,3399269,44.19,44.74
2023-06-30,BA,213.14,211.16,5473181,209.38,213.24
2023-06-30,BKNG,2685.62,2700.33,292841,2676.91,2719.14
2023-06-30,BWA,48.63,48.91,2435266,48.21,49.25
2023-06-30,BXP,57.76,57.59,1982455,56.19,58.49
2023-06-30,BSX,53.79,54.09,7180936,53.65,54.45
2023-06-30,BMY,64.28,63.95,8389833,63.94,64.41
