date,ticker,open_price,close_price,volume,intraday_low,intraday_high
6/27/2023,DHI,120.13,123.05,3953667,120.13,123.78
6/27/2023,DHR,238.78,233.8,4014394,230.88,238.78
6/27/2023,DRI,161.41,163.39,1097007,160.79,163.7
6/27/2023,DVA,94.03,95.93,1016222,92.98,97.16
6/27/2023,DE,410.74,409.51,1364365,400.63,411.5
6/27/2023,DAL,43.68,46.09,25794272,43.37,46.27
6/27/2023,XRAY,39.28,39.91,1326259,38.87,39.97
6/27/2023,DVN,47.67,47.32,7631455,47.31,47.99
6/27/2023,DXCM,124.62,123.5,2634189,121.79,125.48
6/27/2023,FANG,127.17,127.32,1336306,126.4,128.42
6/27/2023,DLR,107.89,109.02,3780224,107.19,109.48
6/27/2023,DFS,115.26,117.32,1604858,114.68,117.35
6/27/2023,DISH,6,6.37,11082806,5.89,6.54
6/27/2023,DIS,88.9,89.06,9951838,88.49,89.66
6/27/2023,DG,167.31,169.4,2576979,166.04,169.63
6/27/2023,DLTR,142.91,146.68,1880053,142.76,146.8
6/27/2023,D,52.84,52.51,3332513,52.41,53
6/27/2023,DPZ,320,324.93,402383,320,326.05
6/27/2023,DOV,143.82,144.79,522059,143.25,145.01
6/27/2023,DOW,51.93,52.57,3176057,51.62,52.62
6/27/2023,DTE,110.53,110.67,875774,110.41,111.37
6/27/2023,DUK,90.93,90.52,2098363,90.47,91.12
6/27/2023,DD,67.95,69.2,3120213,67.8,69.21
6/27/2023,DXC,26.04,26.16,1713770,25.81,26.44
6/27/2023,EMN,80.49,81.71,685971,80.01,82.35
6/27/2023,ETN,196.1,197.65,1539079,195.71,198.39
6/27/2023,EBAY,43.58,44.47,4328932,43.48,44.55
6/27/2023,ECL,180.44,180.91,1068713,179.62,181.53
6/27/2023,EIX,69.03,69.4,1226218,68.82,69.46
6/27/2023,EW,90.15,90.19,1850006,89.09,90.4
6/27/2023,EA,127.48,131.38,2461705,127.23,131.57
6/27/2023,ELV,447.29,444.52,1368392,441.41,448.54
6/27/2023,LLY,462.5,464.5,4113862,451.7,467.98
6/27/2023,EMR,88.5,89.63,2495586,88.36,89.99
6/27/2023,ENPH,160,161.03,3009525,157.16,161.42
6/27/2023,ETR,99.25,98.8,1018871,98.56,99.45
6/27/2023,EOG,109.78,108.98,3303879,108.8,110.03
6/27/2023,EPAM,222.6,229.08,521028,219.58,229.41
6/27/2023,EQT,39.82,40.34,6574184,39.44,40.6
6/27/2023,EFX,226.3,228.74,604184,223.63,229.68
6/27/2023,EQIX,753.7,765.22,415960,754.06,767.17
6/27/2023,EQR,64.56,65.23,1511831,64.18,65.42
6/27/2023,ESS,228.99,231.03,365153,227.26,231.17
6/27/2023,EL,193.41,196.47,1176961,192.49,197.38
6/27/2023,ETSY,85.15,87.49,2525366,85.09,87.85
6/27/2023,RE,340.39,337.9,296814,335.43,342.5
6/27/2023,EVRG,58.66,58.72,1037049,58.43,59
6/27/2023,ES,71.09,71.31,1780047,70.78,71.54
6/27/2023,EXC,40.64,40.82,5196746,40.47,40.95
6/27/2023,EXPE,105.19,108.09,2525447,104.33,108.54
6/27/2023,EXPD,116.49,118.38,920041,116.48,119.3
6/27/2023,EXR,146.47,147.13,920006,145.13,148.01
6/27/2023,XOM,104.04,104.55,13184305,103.27,104.61
6/27/2023,FFIV,144.51,146.35,379382,144.47,146.55
6/27/2023,FDS,396.32,400.34,467817,392.95,401.46
6/27/2023,FICO,768.48,775.54,188286,764.49,778.3
6/27/2023,FAST,57.75,58.46,2216300,57.62,58.58
6/27/2023,FRT,92.68,94.37,403761,92.01,94.42
6/27/2023,FDX,236.09,246.76,4125450,236.01,246.89
6/27/2023,FITB,25.94,26.18,3559867,25.56,26.35
6/27/2023,FSLR,181.41,182.73,1520335,181.01,185.31
6/27/2023,FE,38.92,38.86,2547955,38.62,39.05
6/27/2023,FIS,52.83,52.42,2786721,52.03,53.11
6/27/2023,FISV,112.54,114.23,31730587,114.23,114.23
6/27/2023,FLT,240,245.67,356291,239.15,245.86
6/27/2023,FMC,106.25,105.1,726145,104.35,107.15
6/27/2023,FTNT,71.64,73.66,4601293,71.55,73.89
6/27/2023,FTV,72.37,73.06,1644670,72.18,73.3
6/27/2023,FOXA,33.27,34.36,5107953,33.26,34.57
6/27/2023,F,14.19,14.41,49272947,14.06,14.45
6/27/2023,FOX,31.06,32.15,818204,31.06,32.28
6/27/2023,BEN,25.96,26.65,2442245,25.8,26.73
6/27/2023,FCX,39.57,40.41,11778357,39.44,40.51
6/27/2023,GRMN,102.37,103.5,469602,102.22,103.66
6/27/2023,IT,338.28,339.09,549801,334.39,341.27
6/27/2023,GEHC,77.95,77.07,3248483,76.19,78.35
6/27/2023,GEN,18.06,18.46,2402834,18.02,18.57
6/27/2023,GNRC,136.23,142.53,2698193,135,144.41
6/27/2023,GD,212.25,212.06,855645,211.1,212.62
6/27/2023,GE,104.63,104.92,4617246,104.36,105.21
