Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
2023-06-29,FFIV,144.93,145.77,388668,144.01,145.84
2023-06-29,FDS,395.41,395.55,206966,393.73,398.04
2023-06-29,FICO,789.69,796.54,86572,786.52,797.57
2023-06-29,FAST,57.91,58.54,1893874,57.57,58.56
2023-06-29,FRT,94.21,96.35,433818,93.57,96.50
2023-06-29,FDX,248.70,249.98,2150027,248.15,249.99
2023-06-29,FITB,26.56,26.25,4620065,26.12,26.62
2023-06-29,FSLR,185.71,184.01,877588,182.40,186.77
2023-06-29,FE,38.00,38.61,2736381,37.89,38.68
2023-06-29,FIS,53.32,52.92,4532773,52.85,53.83
2023-06-29,FISV,112.54,114.23,31730587,114.23,114.23
2023-06-29,FLT,246.15,248.05,271243,245.98,249.38
2023-06-29,FMC,103.05,104.53,723357,102.61,104.68
2023-06-29,F,14.87,14.95,56927228,14.79,15.13
2023-06-29,FTNT,74.54,75.09,6113384,73.90,75.30
2023-06-29,FTV,72.32,73.54,1412621,72.32,73.58
2023-06-29,FOXA,34.22,34.41,2321048,34.09,34.58
2023-06-29,FOX,32.05,32.11,522043,31.89,32.27
2023-06-29,BEN,26.38,26.80,2337670,26.37,26.80
2023-06-29,FCX,38.93,39.35,10525413,38.60,39.40
2023-06-29,GRMN,102.00,103.60,744216,101.73,103.94
2023-06-29,IT,338.93,342.54,383918,336.79,343.33
2023-06-29,GEHC,77.27,78.68,1907902,77.15,78.70
2023-06-29,GEN,18.25,18.43,2041800,18.18,18.44
2023-06-29,GNRC,148.53,147.40,1930156,144.44,152.13
2023-06-29,GD,210.92,214.31,815581,210.65,214.50
2023-06-29,GE,106.22,107.74,3126532,106.04,107.83
2023-06-29,GIS,76.74,76.30,5528318,76.09,76.86
2023-06-29,GM,38.33,38.20,10123248,38.00,38.62
2023-06-29,GPC,165.05,166.06,543347,164.48,166.71
2023-06-29,GILD,75.88,76.01,4691344,75.49,76.48
2023-06-29,GL,107.77,108.95,407064,107.77,109.12
2023-06-29,GPN,97.85,96.97,1424684,96.87,98.46
2023-06-29,GS,317.85,323.09,3517545,316.25,325.50
2023-06-29,HAL,32.64,33.19,7561490,32.27,33.22
2023-06-29,HIG,70.35,71.33,1091073,70.12,71.40
2023-06-29,HAS,63.27,63.83,1271034,63.17,63.99
2023-06-29,HCA,299.00,300.44,928495,298.15,302.92
2023-06-29,PEAK,19.73,19.98,5267869,19.63,20.09
2023-06-29,HSIC,79.94,80.90,613369,79.83,80.91
2023-06-29,HSY,248.26,248.68,1397534,246.67,249.69
2023-06-29,HES,133.77,133.86,1784070,132.74,134.49
2023-06-29,HPE,16.40,16.65,8403579,16.40,16.73
2023-06-29,HLT,140.99,143.92,1988817,140.99,144.64
2023-06-29,HOLX,79.84,80.07,1585198,79.30,80.91
2023-06-29,HD,306.78,307.82,3246436,304.03,308.13
2023-06-29,HON,202.42,206.47,2439764,201.74,206.63
2023-06-29,HRL,39.34,39.86,1637859,39.20,39.96
2023-06-29,HST,16.31,16.69,6039338,16.27,16.72
2023-06-29,HWM,48.06,48.76,2424839,48.00,48.91
2023-06-29,HPQ,30.00,30.32,7135363,29.94,30.44
2023-06-29,HUM,446.13,443.86,768298,442.97,446.27
2023-06-29,HBAN,10.71,10.79,11249293,10.66,10.88
2023-06-29,HII,219.98,226.96,287619,219.98,227.08
2023-06-29,IBM,131.75,134.06,3634041,131.69,134.35
2023-06-29,IEX,209.69,213.53,716918,208.82,213.90
2023-06-29,IDXX,485.88,494.49,356804,483.96,495.27
2023-06-29,ITW,246.33,248.51,846707,243.62,248.89
2023-06-29,ILMN,183.40,185.49,1231919,181.93,186.60
2023-06-29,INCY,60.84,61.85,1712080,60.57,62.03
2023-06-29,IR,63.45,64.40,2688945,63.00,64.59
2023-06-29,PODD,292.28,290.98,566428,284.59,293.49
2023-06-29,INTC,33.34,32.91,36462848,32.49,33.33
2023-06-29,ICE,111.68,112.28,1514570,111.17,112.32
2023-06-29,IFF,76.75,77.81,3318989,76.07,77.92
2023-06-29,IP,31.20,31.68,2146481,31.11,31.69
2023-06-29,IPG,38.70,38.09,3876327,38.00,38.83
2023-06-29,INTU,460.74,455.82,1133138,453.38,460.95
2023-06-29,ISRG,335.00,338.49,1679179,334.64,340.59
2023-06-29,IVZ,16.53,16.75,3038031,16.53,16.81
2023-06-29,INVH,34.27,34.13,3638219,33.85,34.37
2023-06-29,IQV,218.90,221.42,852795,217.87,221.90
2023-06-29,IRM,55.18,56.16,1163016,55.02,56.23
2023-06-29,JBHT,179.59,182.47,575125,178.84,182.57
2023-06-29,JKHY,164.55,166.48,365175,163.80,167.11
2023-06-29,J,116.00,118.26,366496,116.00,118.41
2023-06-29,JNJ,162.64,164.10,4541140,162.23,164.32
2023-06-29,JCI,67.02,67.32,3697173,66.85,67.70
2023-06-29,JPM,140.07,143.43,15162591,139.85,143.56
2023-06-29,JNPR,30.60,30.88,1935512,30.55,30.90
2023-06-29,K,65.35,66.82,2682423,65.11,66.85
2023-06-29,KDP,30.57,30.76,9002876,30.47,30.78
2023-06-29,KEY,9.44,9.33,21966637,9.26,9.56
2023-06-29,KEYS,164.00,165.34,829461,163.29,165.76
2023-06-29,KMB,136.50,137.16,1223894,135.85,137.71
2023-06-29,KIM,19.27,19.70,2443186,19.20,19.73
2023-06-29,KMI,17.09,17.20,13274883,17.06,17.26
2023-06-29,KLAC,479.18,477.23,588646,472.58,479.40
2023-06-29,KHC,35.00,35.02,5821556,34.83,35.09
2023-06-29,KR,47.20,46.32,4647948,46.29,47.23
2023-06-29,LHX,191.83,195.49,843082,191.45,196.47
2023-06-29,LH,237.36,240.48,827725,236.86,240.58
2023-06-29,LRCX,647.62,640.36,1304741,636.00,647.90
2023-06-29,LW,112.81,113.89,874789,112.28,114.00
2023-06-29,LVS,57.82,57.38,3920903,57.22,57.97
2023-06-29,LDOS,86.75,87.78,801004,86.75,88.31
2023-06-29,LEN,124.60,123.78,2257556,122.91,124.64
2023-06-29,LNC,25.30,25.49,2461635,25.20,25.83
2023-06-29,LIN,373.49,379.19,1344208,373.42,380.62
2023-06-29,LYV,88.66,89.68,1557621,88.26,90.28
2023-06-29,LKQ,56.80,57.71,1195694,56.57,57.80
2023-06-29,LMT,449.92,457.44,673922,448.78,457.53
2023-06-29,L,58.26,59.11,744891,58.21,59.27
2023-06-29,LOW,223.23,222.82,3050985,221.82,223.81
2023-06-29,LYB,90.28,90.66,1429240,89.81,91.61
2023-06-29,MTB,123.00,124.21,1289303,123.00,125.96
2023-06-29,MRO,22.52,22.93,11981244,22.43,22.93
2023-06-29,MPC,115.25,116.34,2268073,115.10,117.00
2023-06-29,MKTX,256.90,261.98,537355,256.58,263.72
2023-06-29,MAR,177.89,181.27,1716042,177.10,181.40
2023-06-29,MMC,183.44,185.93,1277729,182.96,186.07
2023-06-29,MLM,453.09,457.83,265440,451.09,459.02
2023-06-29,MAS,56.60,57.34,1406067,56.36,57.39
2023-06-29,MA,380.85,387.67,2452747,380.50,388.01
2023-06-29,MTCH,41.94,41.88,2624491,41.46,42.19
2023-06-29,MKC,90.83,86.78,4935835,86.29,90.83
2023-06-29,MCD,291.55,294.47,1732742,290.21,294.66
2023-06-29,MCK,415.09,420.88,685855,414.34,421.95
2023-06-29,MDT,85.94,86.77,3682428,85.82,86.99
2023-06-29,MRK,112.25,113.54,6139264,111.81,113.88
2023-06-29,META,284.50,281.53,14592115,280.69,286.57
