Ticker,Company,Sector_Id,Industry_Id
ESS,Essex Property Trust,S010,I056
EL,Estée Lauder Companies (The),S005,I184
ETSY,Etsy,S006,I026
RE,Everest Re,S008,I048
EVRG,Evergy,S007,I021
ES,Eversource,S007,I029
EXC,Exelon,S007,I029
EXPE,Expedia Group,S006,I026
EXPD,Expeditors International,S001,I084
EXR,Extra Space Storage,S010,I192
XOM,ExxonMobil,S011,I107
FFIV,"F5, Inc.",S003,I049
FDS,FactSet,S008,I096
FICO,Fair Isaac,S003,I008
FAST,Fastenal,S001,I002
FRT,Federal Realty,S010,I198
FDX,FedEx,S001,I084
FITB,Fifth Third Bank,S008,I116
FSLR,First Solar,S003,I028
FE,FirstEnergy,S007,I021
FIS,FIS,S008,I203
FISV,Fiserv,S008,I203
FLT,Fleetcor,S008,I203
FMC,FMC Corporation,S009,I103
F,Ford Motor Company,S006,I207
FTNT,Fortinet,S003,I208
FTV,Fortive,S001,I139
FOXA,Fox Corporation (Class A),S004,I154
FOX,Fox Corporation (Class B),S004,I154
BEN,Franklin Templeton,S008,I036
FCX,Freeport-McMoRan,S009,I213
GRMN,Garmin,S006,I214
IT,Gartner,S003,I005
GEHC,GE HealthCare,S002,I216
GEN,Gen Digital,S003,I008
GNRC,Generac,S001,I038
GD,General Dynamics,S001,I058
GE,General Electric,S001,I001
GIS,General Mills,S005,I088
GM,General Motors,S006,I207
GPC,Genuine Parts Company,S006,I055
GILD,Gilead Sciences,S002,I039
GL,Globe Life,S008,I012
GPN,Global Payments,S008,I203
GS,Goldman Sachs,S008,I105
HAL,Halliburton,S011,I059
HIG,Hartford (The),S008,I022
HAS,Hasbro,S006,I230
HCA,HCA Healthcare,S002,I144
PEAK,Healthpeak,S010,I232
HSIC,Henry Schein,S002,I037
HSY,Hershey's,S005,I088
HES,Hess Corporation,S011,I107
HPE,Hewlett Packard Enterprise,S003,I045
HLT,Hilton Worldwide,S006,I092
HOLX,Hologic,S002,I003
HD,Home Depot (The),S006,I239
HON,Honeywell,S001,I001
HRL,Hormel Foods,S005,I088
HST,Host Hotels & Resorts,S010,I242
HWM,Howmet Aerospace,S001,I058
HPQ,HP Inc.,S003,I045
HUM,Humana,S002,I100
HBAN,Huntington Bancshares,S008,I116
HII,Huntington Ingalls Industries,S001,I058
IBM,IBM,S003,I005
IEX,IDEX Corporation,S001,I139
IDXX,Idexx Laboratories,S002,I003
ITW,Illinois Tool Works,S001,I139
ILMN,Illumina,S002,I068
INCY,Incyte,S002,I039
IR,Ingersoll Rand,S001,I139
PODD,Insulet,S002,I003
INTC,Intel,S003,I028
ICE,Intercontinental Exchange,S008,I096
IFF,International Flavors & Fragrances,S009,I017
IP,International Paper,S009,I027
IPG,Interpublic Group of Companies (The),S004,I260
INTU,Intuit,S003,I008
ISRG,Intuitive Surgical,S002,I003
IVZ,Invesco,S008,I036
INVH,Invitation Homes,S010,I056
IQV,IQVIA,S002,I068
IRM,Iron Mountain,S010,I266
JBHT,J.B. Hunt,S001,I267
JKHY,Jack Henry & Associates,S008,I203
J,Jacobs Solutions,S001,I269
JNJ,Johnson & Johnson,S002,I004
JCI,Johnson Controls,S001,I002
JPM,JPMorgan Chase,S008,I061
JNPR,Juniper Networks,S003,I049
K,Kellogg's,S005,I088
KDP,Keurig Dr Pepper,S005,I120
KEY,KeyCorp,S008,I116
KEYS,Keysight,S003,I277
KMB,Kimberly-Clark,S005,I110
KIM,Kimco Realty,S010,I198
KMI,Kinder Morgan,S011,I280
KLAC,KLA Corporation,S003,I046
KHC,Kraft Heinz,S005,I088
KR,Kroger,S005,I283
LHX,L3Harris,S001,I058
LH,LabCorp,S002,I140
LRCX,Lam Research,S003,I046
LW,Lamb Weston,S005,I088
LVS,Las Vegas Sands,S006,I086
LDOS,Leidos,S001,I113
LEN,Lennar,S006,I141
LNC,Lincoln Financial,S008,I051
LIN,Linde plc,S009,I014
LYV,Live Nation Entertainment,S004,I154
LKQ,LKQ Corporation,S006,I294
LMT,Lockheed Martin,S001,I058
L,Loews Corporation,S008,I051
LOW,Lowe's,S006,I239
LYB,LyondellBasell,S009,I017
MTB,M&T Bank,S008,I116
MRO,Marathon Oil,S011,I044
MPC,Marathon Petroleum,S011,I301
MKTX,MarketAxess,S008,I096
MAR,Marriott International,S006,I092
MMC,Marsh McLennan,S008,I043
MLM,Martin Marietta Materials,S009,I305
MAS,Masco,S001,I002
MA,Mastercard,S008,I203
MTCH,Match Group,S004,I023
MKC,McCormick & Company,S005,I088
MCD,McDonald's,S006,I108
MCK,McKesson,S002,I037
MDT,Medtronic,S002,I003
MRK,Merck & Co.,S002,I004
META,Meta Platforms,S004,I023
MET,MetLife,S008,I012
MTD,Mettler Toledo,S002,I068
MGM,MGM Resorts,S006,I086
MCHP,Microchip Technology,S003,I028
MU,Micron Technology,S003,I028
MSFT,Microsoft,S003,I208
MAA,Mid-America Apartment Communities,S010,I056
MRNA,Moderna,S002,I039
MHK,Mohawk Industries,S006,I323
MOH,Molina Healthcare,S002,I100
TAP,Molson Coors Beverage Company,S005,I325
MDLZ,Mondelez International,S005,I088
MPWR,Monolithic Power Systems,S003,I028
MNST,Monster Beverage,S005,I120
MCO,Moody's Corporation,S008,I096
MS,Morgan Stanley,S008,I105
MOS,Mosaic Company (The),S009,I103
MSI,Motorola Solutions,S003,I049
MSCI,MSCI,S008,I096
NDAQ,"Nasdaq, Inc.",S008,I096
NTAP,NetApp,S003,I045
NFLX,Netflix,S004,I154
NWL,Newell Brands,S006,I337
NEM,Newmont,S009,I338
NWSA,News Corp (Class A),S004,I339
NWS,News Corp (Class B),S004,I339
NEE,NextEra Energy,S007,I029
NKE,"Nike, Inc.",S006,I342
NI,NiSource,S007,I029
NDSN,Nordson Corporation,S001,I139
NSC,Norfolk Southern Railway,S001,I138
NTRS,Northern Trust,S008,I036
NOC,Northrop Grumman,S001,I058
NCLH,Norwegian Cruise Line Holdings,S006,I092
NRG,NRG Energy,S007,I011
NUE,Nucor,S009,I350
NVDA,Nvidia,S003,I028
NVR,"NVR, Inc.",S006,I141
NXPI,NXP Semiconductors,S003,I028
ORLY,O'Reilly Auto Parts,S006,I055
OXY,Occidental Petroleum,S011,I044
ODFL,Old Dominion,S001,I267
OMC,Omnicom Group,S004,I260
ON,ON Semiconductor,S003,I028
OKE,ONEOK,S011,I280
ORCL,Oracle Corporation,S003,I008
